Herkunftsort;Anzahl;Anzahl Prozent;weiblich;weiblich Prozent;maennlich ;maennlich Prozent;Entfernung in km
Duisburg;19 912    ;6,5;9 417    ;6,8;10 495    ;6,2;23,3
Köln;14 635    ;4,8;6 726    ;4,9;7 909    ;4,7;34,2
Essen;13 336    ;4,3;5 547    ;4;7 789    ;4,6;26,4
Krefeld;10 348    ;3,4;4 830    ;3,5;5 518    ;3,3;20,2
Mönchengladbach;9 770    ;3,2;4 432    ;3,2;5 338    ;3,2;28,9
Wuppertal;8 926    ;2,9;4 230    ;3,1;4 696    ;2,8;25,1
Mülheim an der Ruhr;5 631    ;1,8;2 397    ;1,7;3 234    ;1,9;20,4
Solingen;5 518    ;1,8;2 639    ;1,9;2 879    ;1,7;19,6
Oberhausen;5 015    ;1,6;2 058    ;1,5;2 957    ;1,8;31
Bochum;3 717    ;1,2;1 438    ;1;2 279    ;1,3;38,9
Dortmund;3 498    ;1,1;1 365    ;1;2 133    ;1,3;55,8
Leverkusen;3 125    ;1;1 448    ;1;1 677    ;1;24,9
Ratingen;13 037    ;4,2;6 562    ;4,7;6 475    ;3,8;9,9
Hilden;7 690    ;2,5;4 082    ;2,9;3 608    ;2,1;11,5
Erkrath;6 907    ;2,2;3 575    ;2,6;3 332    ;2;8,4
Langenfeld (Rheinland);5 178    ;1,7;2 537    ;1,8;2 641    ;1,6;17,2
Monheim am Rhein;4 703    ;1,5;2 300    ;1,7;2 403    ;1,4;16,5
Neuss;18 758    ;6,1;9 103    ;6,6;9 655    ;5,7;10,3
Meerbusch;9 293    ;3;4 911    ;3,5;4 382    ;2,6;11,1
Kaarst;5 887    ;1,9;2 919    ;2,1;2 968    ;1,8;14
Grevenbroich;4 371    ;1,4;2 099    ;1,5;2 272    ;1,3;21,7
Dormagen;3 897    ;1,3;2 002    ;1,4;1 895    ;1,1;14,6
Willich;4 371    ;1,4;2 107    ;1,5;2 264    ;1,3;20,6
Viersen;2 438    ;0,8;1 043    ;0,8;1 395    ;0,8;31,5
Tönisvorst;1 241    ;0,4;518;0,4;723;0,4;26,6
Kempen;1 160    ;0,4;483;0,3;677;0,4;30,5
Nettetal;882;0,3;345;0,2;537;0,3;40,1
allen sonstigen Orten;94 748    ;30,8;37 972    ;27,4;56 776    ;33,6;x
